timestamp,x,y,z,phi,theta,psi,u,v,w,p,q,r,tau_X,tau_Y,tau_Z,tau_K,tau_M,tau_N,D_u,D_v,D_w,dist_u,dist_v,pwm_1,thrust_1,pwm_2,thrust_2,pwm_3,thrust_3,pwm_4,thrust_4,pwm_5,thrust_5,pwm_6,thrust_6,pwm_7,thrust_7,pwm_8,thrust_8
0.00000,0.00007,-0.00004,0.00000,0.00000,0.00000,0.00000,0.00362,-0.00199,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00007,-0.00003,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
0.02000,0.00022,-0.00012,0.00000,0.00000,0.00000,0.00000,0.00718,-0.00398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05138,-0.00086,0.00000,0.00031,-0.00021,1498.95425,0.00000,1502.55371,0.00000,1498.95425,0.00000,1502.55371,0.00000,1500.63997,0.00000,1500.63997,0.00000,1499.36003,0.00000,1499.36003,0.00000
0.04000,0.00043,-0.00024,0.00000,0.00000,0.00000,0.00000,0.01068,-0.00596,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10561,-0.00343,0.00000,0.00101,-0.00054,1497.91008,0.00000,1505.10577,0.00000,1497.91008,0.00000,1505.10577,0.00000,1501.27978,0.00000,1501.27978,0.00000,1498.72022,0.00000,1498.72022,0.00000
0.06000,0.00071,-0.00040,0.00000,0.00000,0.00000,0.00000,0.01413,-0.00794,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16248,-0.00771,0.00000,0.00238,-0.00123,1496.86910,0.00000,1507.65453,0.00000,1496.86910,0.00000,1507.65453,0.00000,1501.91926,0.00000,1501.91926,0.00000,1498.08074,0.00000,1498.08074,0.00000
0.08000,0.00106,-0.00060,0.00000,0.00000,0.00000,0.00000,0.01752,-0.00991,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22178,-0.01368,0.00000,0.00433,-0.00244,1495.83288,0.00000,1510.19834,0.00000,1495.83288,0.00000,1510.19834,0.00000,1502.55825,0.00000,1502.55825,0.00000,1497.44175,0.00000,1497.44175,0.00000
0.10000,0.00148,-0.00083,0.00000,0.00000,0.00000,0.00000,0.02084,-0.01188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28329,-0.02133,0.00000,0.00712,-0.00370,1494.80300,0.00000,1512.73558,0.00000,1494.80300,0.00000,1512.73558,0.00000,1503.19659,0.00000,1503.19659,0.00000,1496.80341,0.00000,1496.80341,0.00000
0.12000,0.00196,-0.00111,0.00000,0.00000,0.00000,0.00000,0.02410,-0.01384,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34679,-0.03063,0.00000,0.01110,-0.00566,1493.78105,0.00000,1515.26460,0.00000,1493.78105,0.00000,1515.26460,0.00000,1503.83410,0.00000,1503.83410,0.00000,1496.16590,0.00000,1496.16590,0.00000
0.14000,0.00251,-0.00143,0.00000,0.00000,0.00000,0.00000,0.02729,-0.01579,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41206,-0.04156,0.00000,0.01648,-0.00839,1492.76858,0.00000,1517.78377,0.00000,1492.76858,0.00000,1517.78377,0.00000,1504.47064,0.00000,1504.47064,0.00000,1495.52936,0.00000,1495.52936,0.00000
0.16000,0.00312,-0.00178,0.00000,0.00000,0.00000,0.00000,0.03041,-0.01772,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47888,-0.05408,0.00000,0.02341,-0.01201,1491.76716,0.00000,1520.29148,0.00000,1491.76716,0.00000,1520.29148,0.00000,1505.10603,0.00000,1505.10603,0.00000,1494.89397,0.00000,1494.89397,0.00000
0.18000,0.00378,-0.00217,0.00000,0.00000,0.00000,0.00000,0.03346,-0.01964,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.54703,-0.06814,0.00000,0.03206,-0.01666,1490.77834,0.00000,1522.78611,0.00000,1490.77834,0.00000,1522.78611,0.00000,1505.74011,0.00000,1505.74011,0.00000,1494.25989,0.00000,1494.25989,0.00000
0.20000,0.00451,-0.00260,0.00000,0.00000,0.00000,0.00000,0.03644,-0.02126,0.00000,0.00000,0.00000,0.00000,0.00000,0.28709,0.00000,0.00000,0.00000,0.00000,0.61630,-0.08371,0.00000,0.04228,-0.02211,1489.80365,0.00000,1525.26607,0.20300,1489.80365,0.00000,1525.26607,0.20300,1506.37273,0.00000,1506.37273,0.00000,1493.62727,0.00000,1493.62727,0.00000
0.22000,0.00530,-0.00305,0.00000,0.00000,0.00000,0.00000,0.03935,-0.02281,0.00000,0.00000,0.00000,0.00000,0.00000,0.34581,0.00000,0.00000,0.00000,0.00000,0.68647,-0.09808,0.00000,0.05411,-0.02845,1488.84462,0.00000,1527.72978,0.24452,1488.84462,0.00000,1527.72978,0.24452,1507.00371,0.00000,1507.00371,0.00000,1492.99629,0.00000,1492.99629,0.00000
0.24000,0.00614,-0.00354,0.00000,0.00000,0.00000,0.00000,0.04218,-0.02428,0.00000,0.00000,0.00000,0.00000,0.00000,0.40950,0.00000,0.00000,0.00000,0.00000,0.75735,-0.11288,0.00000,0.06798,-0.03564,1487.90276,0.00000,1530.17567,0.28956,1487.90276,0.00000,1530.17567,0.28956,1507.63290,0.00000,1507.63290,0.00000,1492.36710,0.00000,1492.36710,0.00000
